REACHABLE quiz boards (full focus x discovered enumeration) = 1857
boards containing a dead end: 867/1857
  間李天 (門日木子一大) stuck=1/2 dupStuck=0 first@n=53 focus=門
  李本天 (木子木一一大) stuck=2/3 dupStuck=1 first@n=53 focus=李
  好本天 (女子木一一大) stuck=1/2 dupStuck=0 first@n=53 focus=女
  林好天 (木木女子一大) stuck=3/4 dupStuck=0 first@n=53 focus=林
  本好天 (木一女子一大) stuck=1/2 dupStuck=0 first@n=53 focus=本
  好林間 (女子木木門日) stuck=1/2 dupStuck=0 first@n=53 focus=女
  本李間 (木一木子門日) stuck=1/2 dupStuck=0 first@n=53 focus=本
  天李間 (一大木子門日) stuck=1/2 dupStuck=0 first@n=53 focus=大
  李本間 (木子木一門日) stuck=1/2 dupStuck=0 first@n=53 focus=李
  好本間 (女子木一門日) stuck=1/2 dupStuck=0 first@n=53 focus=女
  林好間 (木木女子門日) stuck=1/2 dupStuck=0 first@n=53 focus=林
  本好間 (木一女子門日) stuck=1/2 dupStuck=0 first@n=53 focus=本
  李天間 (木子一大門日) stuck=1/2 dupStuck=0 first@n=53 focus=李
  問明星 (門口日月日生) stuck=2/3 dupStuck=0 first@n=101 focus=口
  問間明 (門口門日日月) stuck=1/2 dupStuck=1 first@n=101 focus=門
  問星明 (門口日生日月) stuck=2/3 dupStuck=0 first@n=101 focus=口
  問間星 (門口門日日生) stuck=1/2 dupStuck=1 first@n=101 focus=門
  問林明 (門口木木日月) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問明林 (門口日月木木) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問星林 (門口日生木木) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問李明 (門口木子日月) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問明李 (門口日月木子) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問星李 (門口日生木子) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問本明 (門口木一日月) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問明本 (門口日月木一) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問星本 (門口日生木一) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問李本 (門口木子木一) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問好明 (門口女子日月) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問明好 (門口日月女子) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問星好 (門口日生女子) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問林好 (門口木木女子) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問本好 (門口木一女子) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問天明 (門口一大日月) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問明天 (門口日月一大) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問星天 (門口日生一大) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問林天 (門口木木一大) stuck=1/2 dupStuck=0 first@n=101 focus=口
  問李天 (門口木子一大) stuck=1/2 dupStuck=0 first@n=101 focus=口
  明問星 (日月門口日生) stuck=2/3 dupStuck=0 first@n=101 focus=月
  星問明 (日生門口日月) stuck=2/3 dupStuck=0 first@n=101 focus=生
  林問明 (木木門口日月) stuck=1/2 dupStuck=0 first@n=101 focus=林
  李問明 (木子門口日月) stuck=1/2 dupStuck=0 first@n=101 focus=李
  本問明 (木一門口日月) stuck=1/2 dupStuck=0 first@n=101 focus=本
  好問明 (女子門口日月) stuck=1/2 dupStuck=0 first@n=101 focus=女
  天問明 (一大門口日月) stuck=1/2 dupStuck=0 first@n=101 focus=大
  間問明 (門日門口日月) stuck=1/2 dupStuck=1 first@n=101 focus=間
  星明問 (日生日月門口) stuck=2/3 dupStuck=0 first@n=101 focus=生
  林明問 (木木日月門口) stuck=1/2 dupStuck=0 first@n=101 focus=林
  李明問 (木子日月門口) stuck=1/2 dupStuck=0 first@n=101 focus=李
  本明問 (木一日月門口) stuck=1/2 dupStuck=0 first@n=101 focus=本
  好明問 (女子日月門口) stuck=1/2 dupStuck=0 first@n=101 focus=女
  天明問 (一大日月門口) stuck=1/2 dupStuck=0 first@n=101 focus=大
  間明問 (門日日月門口) stuck=1/2 dupStuck=1 first@n=101 focus=間
  明星問 (日月日生門口) stuck=2/3 dupStuck=0 first@n=101 focus=月
  林星問 (木木日生門口) stuck=1/2 dupStuck=0 first@n=101 focus=林
  李星問 (木子日生門口) stuck=1/2 dupStuck=0 first@n=101 focus=李
  本星問 (木一日生門口) stuck=1/2 dupStuck=0 first@n=101 focus=本
  好星問 (女子日生門口) stuck=1/2 dupStuck=0 first@n=101 focus=女
  天星問 (一大日生門口) stuck=1/2 dupStuck=0 first@n=101 focus=大
  間星問 (門日日生門口) stuck=1/2 dupStuck=1 first@n=101 focus=間
  明林問 (日月木木門口) stuck=1/2 dupStuck=0 first@n=101 focus=月
  星林問 (日生木木門口) stuck=1/2 dupStuck=0 first@n=101 focus=生
  好林問 (女子木木門口) stuck=1/2 dupStuck=0 first@n=101 focus=女
  天林問 (一大木木門口) stuck=1/2 dupStuck=0 first@n=101 focus=大
  明李問 (日月木子門口) stuck=1/2 dupStuck=0 first@n=101 focus=月
  星李問 (日生木子門口) stuck=1/2 dupStuck=0 first@n=101 focus=生
  本李問 (木一木子門口) stuck=1/2 dupStuck=0 first@n=101 focus=本
  天李問 (一大木子門口) stuck=1/2 dupStuck=0 first@n=101 focus=大
  明本問 (日月木一門口) stuck=1/2 dupStuck=0 first@n=101 focus=月
  星本問 (日生木一門口) stuck=1/2 dupStuck=0 first@n=101 focus=生
  李本問 (木子木一門口) stuck=1/2 dupStuck=0 first@n=101 focus=李
  好本問 (女子木一門口) stuck=1/2 dupStuck=0 first@n=101 focus=女
  明好問 (日月女子門口) stuck=1/2 dupStuck=0 first@n=101 focus=月
  星好問 (日生女子門口) stuck=1/2 dupStuck=0 first@n=101 focus=生
  林好問 (木木女子門口) stuck=1/2 dupStuck=0 first@n=101 focus=林
  本好問 (木一女子門口) stuck=1/2 dupStuck=0 first@n=101 focus=本
  明天問 (日月一大門口) stuck=1/2 dupStuck=0 first@n=101 focus=月
  星天問 (日生一大門口) stuck=1/2 dupStuck=0 first@n=101 focus=生
  林天問 (木木一大門口) stuck=1/2 dupStuck=0 first@n=101 focus=林
  李天問 (木子一大門口) stuck=1/2 dupStuck=0 first@n=101 focus=李
  問明間 (門口日月門日) stuck=1/2 dupStuck=1 first@n=101 focus=口
  問星間 (門口日生門日) stuck=1/2 dupStuck=1 first@n=101 focus=口
  明問間 (日月門口門日) stuck=1/2 dupStuck=1 first@n=101 focus=月
  星問間 (日生門口門日) stuck=1/2 dupStuck=1 first@n=101 focus=生
  請李本 (言靑木子木一) stuck=1/2 dupStuck=0 first@n=151 focus=言
  請林好 (言靑木木女子) stuck=1/2 dupStuck=0 first@n=151 focus=言
  請本好 (言靑木一女子) stuck=1/2 dupStuck=0 first@n=151 focus=言
  請林天 (言靑木木一大) stuck=1/2 dupStuck=0 first@n=151 focus=言
  請李天 (言靑木子一大) stuck=1/2 dupStuck=0 first@n=151 focus=言
  請問明 (言靑門口日月) stuck=1/2 dupStuck=0 first@n=151 focus=言
  請明問 (言靑日月門口) stuck=1/2 dupStuck=0 first@n=151 focus=言
  請星問 (言靑日生門口) stuck=1/2 dupStuck=0 first@n=151 focus=言
  問請明 (門口言靑日月) stuck=1/2 dupStuck=0 first@n=151 focus=口
  問明請 (門口日月言靑) stuck=1/2 dupStuck=0 first@n=151 focus=口
  問星請 (門口日生言靑) stuck=1/2 dupStuck=0 first@n=151 focus=口
  好林請 (女子木木言靑) stuck=1/2 dupStuck=0 first@n=151 focus=女
  天林請 (一大木木言靑) stuck=1/2 dupStuck=0 first@n=151 focus=大
  本李請 (木一木子言靑) stuck=1/2 dupStuck=0 first@n=151 focus=本
  天李請 (一大木子言靑) stuck=1/2 dupStuck=0 first@n=151 focus=大
  李本請 (木子木一言靑) stuck=1/2 dupStuck=0 first@n=151 focus=李
  好本請 (女子木一言靑) stuck=1/2 dupStuck=0 first@n=151 focus=女
  林好請 (木木女子言靑) stuck=1/2 dupStuck=0 first@n=151 focus=林
  本好請 (木一女子言靑) stuck=1/2 dupStuck=0 first@n=151 focus=本
  林天請 (木木一大言靑) stuck=1/2 dupStuck=0 first@n=151 focus=林
  李天請 (木子一大言靑) stuck=1/2 dupStuck=0 first@n=151 focus=李
  明問請 (日月門口言靑) stuck=1/2 dupStuck=0 first@n=151 focus=月
